Source,Target,Type,Label,Weight,source type,target type,gender
Kaiser,Kaiser,Undirected,,1,Figur,Genderrolle,Mann
Dame,Dame,Undirected,,1,Figur,Genderrolle,Frau
Tante Gundel,Tante,Undirected,,1,Figur,Genderrolle,Frau
Tante Gundel,Gundel,Undirected,,1,Figur,Genderrolle,Frau
Tante Olga,Tante,Undirected,,1,Figur,Genderrolle,Frau
Tante Olga,Olga,Undirected,,1,Figur,Genderrolle,Frau
Effi Briest,Eva,Undirected,,1,Figur,Genderrolle,Frau
Handwerker,Handwerker,Undirected,,1,Figur,Genderrolle,Mann
Badegast,Badegast,Undirected,,1,Figur,Genderrolle,Mann
Badewärter,Badewärter,Undirected,,1,Figur,Genderrolle,Mann
Gott,Gottes,Undirected,,1,Figur,Genderrolle,Genderneutral
Dagobert Briest,Junge,Undirected,,1,Figur,Genderrolle,Mann
Jeder,jeden,Undirected,,1,Figur,Genderrolle,Genderneutral
Mitspielende,Mitspielenden,Undirected,,1,Figur,Genderrolle,Genderneutral
Offiziere,Offiziere,Undirected,,1,Figur,Genderrolle,Mann
Husaren,Husaren,Undirected,,1,Figur,Genderrolle,Genderneutral
Kenner,Kenner,Undirected,,1,Figur,Genderrolle,Mann
Kommis,Kommis,Undirected,,1,Figur,Genderrolle,Mann
Effi Briest,Braut,Undirected,,1,Figur,Genderrolle,Frau
Herren,Herren,Undirected,,1,Figur,Genderrolle,Mann
Hofgesellschaft,Hofgesellschaft,Undirected,,1,Figur,Genderrolle,Genderneutral
Pastor Niemeyer,Dorfpastor,Undirected,,1,Figur,Genderrolle,Mann
Pastor Niemeyer,Freund,Undirected,,1,Figur,Genderrolle,Mann
Pastor Niemeyer,Hofprediger,Undirected,,1,Figur,Genderrolle,Mann
Mann,Mann,Undirected,,1,Figur,Genderrolle,Mann
Würdenträger,Würdenträger,Undirected,,1,Figur,Genderrolle,Mann
Herr Jahnke,Jahnkes,Undirected,,1,Figur,Genderrolle,Mann
Luise Briest,Spielverderberin,Undirected,,1,Figur,Genderrolle,Frau
Geert Instetten,Kerl,Undirected,,1,Figur,Genderrolle,Mann
Effi Briest,Naturkind,Undirected,,1,Figur,Genderrolle,Genderneutral
Frau,Frau,Undirected,,1,Figur,Genderrolle,Frau
Menschen,Menschen,Undirected,,1,Figur,Genderrolle,Genderneutral
Geert Instetten,Manne,Undirected,,1,Figur,Genderrolle,Mann
Dagobert Briest,Kadetten,Undirected,,1,Figur,Genderrolle,Mann
Geert Instetten,Träger,Undirected,,1,Figur,Genderrolle,Mann
Personen,Person,Undirected,,1,Figur,Genderrolle,Genderneutral
Geert Instetten,Karrieremacher,Undirected,,1,Figur,Genderrolle,Mann
Geert Instetten,Streber,Undirected,,1,Figur,Genderrolle,Mann
Todfeindin,Todfeindin,Undirected,,1,Figur,Genderrolle,Frau
Hulda Niemeyer,Fräulein,Undirected,,1,Figur,Genderrolle,Frau
Leutnant Nienkerken,Leutnant,Undirected,,1,Figur,Genderrolle,Mann
Leutnant Nienkerken,Nienkerken,Undirected,,1,Figur,Genderrolle,Mann
Leutnant Nienkerken,Person,Undirected,,1,Figur,Genderrolle,Genderneutral
Mädchen,Mädchen,Undirected,,1,Figur,Genderrolle,Frau
Kind,Kind,Undirected,,1,Figur,Genderrolle,Genderneutral
