Source,Target,Type,Label,Weight,source type,target type,gender
Oberpassbeamter,Paßbeamte,Undirected,,1,Figur,Genderrolle,Mann
Unterpassbeamter,Paßbeamte,Undirected,,1,Figur,Genderrolle,Mann
Detektive,Detektive,Undirected,,1,Figur,Genderrolle,Mann
drei Faschisten,Faschisten,Undirected,,1,Figur,Genderrolle,Mann
erster Faschist,Faschist,Undirected,,1,Figur,Genderrolle,Mann
Finanzer,Kollegen,Undirected,,1,Figur,Genderrolle,Mann
ein Mitreisender,Italienreisender,Undirected,,1,Figur,Genderrolle,Mann
ein Mitreisender,Nervöser,Undirected,,1,Figur,Genderrolle,Mann
Albert Hausmann,Mann,Undirected,,1,Figur,Genderrolle,Mann
die Faschisten,Spitzel,Undirected,,1,Figur,Genderrolle,Mann
ein mitreisender Gast,Mann,Undirected,,1,Figur,Genderrolle,Mann
ein mitreisender Gast,Bauer,Undirected,,1,Figur,Genderrolle,Mann
ein mitreisender Gast,Kerl,Undirected,,1,Figur,Genderrolle,Mann
ein mitreisender Gast,Spitzel,Undirected,,1,Figur,Genderrolle,Mann
Reichsdeutsche,Reichsdeutsche,Undirected,,1,Figur,Genderrolle,Mann
Bozener,Bozener,Undirected,,1,Figur,Genderrolle,Mann
Reichsdeutsche,Gäste,Undirected,,1,Figur,Genderrolle,Genderneutral
Gast am Tisch,Gast,Undirected,,1,Figur,Genderrolle,Genderneutral
Gast am Tisch,Herr,Undirected,,1,Figur,Genderrolle,Mann
Milizangehöriger,Schwarzhemden,Undirected,,1,Figur,Genderrolle,Genderneutral
Gast am Tisch,Gourmand,Undirected,,1,Figur,Genderrolle,Mann
Gast am Tisch,Sohn,Undirected,,1,Figur,Genderrolle,Mann
Pforzheimer Stadtbaumeister,Pforzheimer Stadtbaumeister,Undirected,,1,Figur,Genderrolle,Mann
Pforzheimer Stadtbaumeister,Vater,Undirected,,1,Figur,Genderrolle,Mann
Pforzheimer Stadtbaumeister,Stadtbaumeister,Undirected,,1,Figur,Genderrolle,Mann
Mutter von Gast am Tisch,Mutter,Undirected,,1,Figur,Genderrolle,Frau
Gast am Tisch,Renaissancemensch,Undirected,,1,Figur,Genderrolle,Genderneutral
Restaurantmitarbeiter,Herr Ober,Undirected,,1,Figur,Genderrolle,Mann
Vetter von Gast am Tisch,Vetter,Undirected,,1,Figur,Genderrolle,Mann
Vetter von Gast am Tisch,Realpoliiker,Undirected,,1,Figur,Genderrolle,Mann
Gerichtsarzt,Gerichtsarzt,Undirected,,1,Figur,Genderrolle,Mann
Gast am Tisch,Normale,Undirected,,1,Figur,Genderrolle,MAnn
Primo,Primo,Undirected,,1,Figur,Genderrolle,MAnn
Primo,Mann,Undirected,,1,Figur,Genderrolle,Mann
Primo,Kavalier,Undirected,,1,Figur,Genderrolle,Mann
deutsche Konservative,Konservative,Undirected,,1,Figur,Genderrolle,Mann
französische Konservative,Konservative,Undirected,,1,Figur,Genderrolle,Mann
Romeo,Romeo,Undirected,,1,Figur,Genderrolle,Mann
Julia,Julia,Undirected,,1,Figur,Genderrolle,Frau
Julia,Liebespaar,Undirected,,1,Figur,Genderrolle,Genderneutral
Romeo,Liebespaar,Undirected,,1,Figur,Genderrolle,Genderneutral
Dolmetscher,Herr,Undirected,,1,Figur,Genderrolle,Mann
Dolmetscher,Dolmetscher,Undirected,,1,Figur,Genderrolle,Mann
Frau Dolmetscher,Frau,Undirected,,1,Figur,Genderrolle,Frau
Frau Dolmetscher,Dolmetschers Frau,Undirected,,1,Figur,Genderrolle,Mann
Ausländerinnen,Ausländerinnen,Undirected,,1,Figur,Genderrolle,Frau
Dolmetscher,Giovanni,Undirected,,1,Figur,Genderrolle,Mann
Burder Frau Dolmetscher,Bruder,Undirected,,1,Figur,Genderrolle,Mann
Mann,Manne,Undirected,,1,Figur,Genderrolle,Mann
Rudolf Schmitz,Herr,Undirected,,1,Figur,Genderrolle,Mann
Rudolf Schmitz,Spitzel,Undirected,,1,Figur,Genderrolle,Mann
Rudolf Schmitz,halb Deutscher,Undirected,,1,Figur,Genderrolle,Mann
Rudolf Schmitz,Schwätzer,Undirected,,1,Figur,Genderrolle,Mann
Rudolf Schmitz,Mistvieh,Undirected,,1,Figur,Genderrolle,Genderneutral
Milizangehöriger,Angehöriger,Undirected,,1,Figur,Genderrolle,Mann
Milizangehöriger,Schwarzhemd,Undirected,,1,Figur,Genderrolle,Mann
Milizangehöriger,Faschist,Undirected,,1,Figur,Genderrolle,Mann
Rudolf Schmitz,Reisender,Undirected,,1,Figur,Genderrolle,Mann
Rudolf Schmitz,Gegenüber,Undirected,,1,Figur,Genderrolle,Genderneutral
Rudolf Schmitz,Konkurrenz,Undirected,,1,Figur,Genderrolle,Genderneutral
Rudolf Schmitz,Redakteur,Undirected,,1,Figur,Genderrolle,Mann
Rudolf Schmitz,Österreich-Ungarer,Undirected,,1,Figur,Genderrolle,Mann
Rudolf Schmitz,Sprachtelent,Undirected,,1,Figur,Genderrolle,Genderneutral
Verleger,Verleger,Undirected,,1,Figur,Genderrolle,Mann
Rudolf Schmitz,Schmitz,Undirected,,1,Figur,Genderrolle,Mann
Rudolf Schmitz,Egoist,Undirected,,1,Figur,Genderrolle,Mann
Rumbaud,Rimbaud,Undirected,,1,Figur,Genderrolle,Mann
Rudolf Schmitz,Korrespondent,Undirected,,1,Figur,Genderrolle,Mann
Rudolf Schmitz,Bohemien,Undirected,,1,Figur,Genderrolle,Mann
Rudolf Schmitz,Herr Schmitz,Undirected,,1,Figur,Genderrolle,Mann
Milizangehöriger,Faschisten,Undirected,,1,Figur,Genderrolle,Mann
Rudolf Schmitz,Philosoph,Undirected,,1,Figur,Genderrolle,Mann
Revolutionsführer,Führer,Undirected,,1,Figur,Genderrolle,Mann
Revolutionsführer,keine Kaufleute,Undirected,,1,Figur,Genderrolle,Genderneutral
Kaufleute,Kaufleut,Undirected,,1,Figur,Genderrolle,Genderneutral
