Source,Target,Type,Label,Weight,source type,target type,gender
Corinna Schmidt,Kunststopferin,Undirected,,1,Figur,Rolle,Frau
Referendar Enghaus,Referendar,Undirected,,1,Figur,Rolle,Mann
Fräulein Honig,Landsmännin,Undirected,,1,Figur,Rolle,Frau
Corinna Schmidt,Berlinerin,Undirected,,1,Figur,Rolle,Frau
Corinna Schmidt,Professorstochter,Undirected,,1,Figur,Rolle,Frau
Gäste,Herrschaften,Undirected,,1,Figur,Rolle,Genderneutral
Vogelsang,fellow,Undirected,,1,Figur,Rolle,Genderneutral
Mister Nelson,Heldennamensvetter,Undirected,,1,Figur,Rolle,Mann
Herr Treibel,Wirt,Undirected,,1,Figur,Rolle,Mann
Vogelsang,Soldat,Undirected,,1,Figur,Rolle,Mann
Männer,Herren,Undirected,,1,Figur,Rolle,Mann
Frauen,Damen,Undirected,,1,Figur,Rolle,Frau
Vogelsang,Redner,Undirected,,1,Figur,Rolle,Mann
Vogelsang,Streiter,Undirected,,1,Figur,Rolle,Mann
Vogelsang,Erfinder,Undirected,,1,Figur,Rolle,Mann
Vogelsang,peer,Undirected,,1,Figur,Rolle,Genderneutral
Gäste,Gruppen,Undirected,,1,Figur,Rolle,Genderneutral
Gäste,Tischnachbarn,Undirected,,1,Figur,Rolle,Genderneutral
Gäste,Gesellschaft,Undirected,,1,Figur,Rolle,Genderneutral
König,Majestät,Undirected,,1,Figur,Rolle,Mann
Königin,Königinwitwe,Undirected,,1,Figur,Rolle,Frau
Vogelsang,Gerngehorchenden,Undirected,,1,Figur,Rolle,Mann
Herr Treibel,Herr,Undirected,,1,Figur,Rolle,Mann
Friedrich,Diener,Undirected,,1,Figur,Rolle,Mann
Goldammer,Polizeiasessor,Undirected,,1,Figur,Rolle,Mann
Goldammer,Pastorssohn,Undirected,,1,Figur,Rolle,Mann
Majorin von Ziegenhals,Weib,Undirected,,1,Figur,Rolle,Frau
Majorin von Ziegenhals,Festungsviereck,Undirected,,1,Figur,Rolle,Genderneutral
König,Nährvater,Undirected,,1,Figur,Rolle,Mann
Adel,Vampir-Adel,Undirected,,1,Figur,Rolle,Genderneutral
Fortschrittler,Drache,Undirected,,1,Figur,Rolle,Mann
Grabillon,Soubrette,Undirected,,1,Figur,Rolle,Frau
Grabillon,Protegé,Undirected,,1,Figur,Rolle,Genderneutral
Goldammer,Fortschrittler,Undirected,,1,Figur,Rolle,Mann
Nichtgrüßer,Wilhelm Tell,Undirected,,1,Figur,Rolle,Mann
Goldammer,Antikatholik,Undirected,,1,Figur,Rolle,Mann
Mister Nelson,Vollblut-Engländer,Undirected,,1,Figur,Rolle,Mann
Vogelsang,Sangevogel,Undirected,,1,Figur,Rolle,Mann
Vogelsang,Vogel,Undirected,,1,Figur,Rolle,Mann
Vogelsang,Kakadu,Undirected,,1,Figur,Rolle,Mann
Blanca und Elfriede Felgentreu,Fräulein Felgentreus,Undirected,,1,Figur,Rolle,Frau
Blanca und Elfriede Felgentreu,Damen,Undirected,,1,Figur,Rolle,Frau
Blanca und Elfriede Felgentreu,Felgentreus,Undirected,,1,Figur,Rolle,Genderneutral
Elfriede Felgentreu,Schwester,Undirected,,1,Figur,Rolle,Frau
Blanca und Elfriede Felgentreu,Schwestern,Undirected,,1,Figur,Rolle,Frau
Goldammer,Sprecher,Undirected,,1,Figur,Rolle,Mann
Goldammer,Antragsteller,Undirected,,1,Figur,Rolle,Mann
Herr Felgentreu,Felgentreu,Undirected,,1,Figur,Rolle,Mann
Deutsche,Germans,Undirected,,1,Figur,Rolle,Genderneutral
Jenny Treibel,lady,Undirected,,1,Figur,Rolle,Frau
Marcell Wedderkopp,Freund,Undirected,,1,Figur,Rolle,Mann
Leopold Treibel,Junge,Undirected,,1,Figur,Rolle,Mann
Marcell Wedderkopp,Herr Doktor,Undirected,,1,Figur,Rolle,Mann
Corinna Schmidt,Cousinchen,Undirected,,1,Figur,Rolle,Frau
Leopold Treibel,Mensch,Undirected,,1,Figur,Rolle,Genderneutral
Corinna Schmidt,Person,Undirected,,1,Figur,Rolle,Genderneutral
Corinna Schmidt,Mädchen,Undirected,,1,Figur,Rolle,Frau
Corinna Schmidt,Frauenzimmer,Undirected,,1,Figur,Rolle,Frau
Leopold Treibel,Geldleute,Undirected,,1,Figur,Rolle,Genderneutral
Wilibald Schmidt,Alter,Undirected,,1,Figur,Rolle,Mann
Corinna Schmidt,Hauptperson,Undirected,,1,Figur,Rolle,Genderneutral
Wilibald Schmidt,Nebenpersonen,Undirected,,1,Figur,Rolle,Genderneutral
Corinna Schmidt,Corinne au Capitole,Undirected,,1,Figur,Rolle,Frau
Helene Treibel,Schwägerin,Undirected,,1,Figur,Rolle,Frau
Marcell Wedderkopp,Oberlehrer,Undirected,,1,Figur,Rolle,Mann
Jenny Treibel,Schwiegermama,Undirected,,1,Figur,Rolle,Frau
Herr Schmolke,Mann,Undirected,,1,Figur,Rolle,Mann
Herr Schmolke,Schutzmann,Undirected,,1,Figur,Rolle,Mann
Corinna Schmidt,Corinnchen,Undirected,,1,Figur,Rolle,Frau
Leopold Treibel,Rettungsanker,Undirected,,1,Figur,Rolle,Mann
Leopold Treibel,Marssegel,Undirected,,1,Figur,Rolle,Genderneutral
Friedrich Distelkamp,Gymnasialdirektor,Undirected,,1,Figur,Rolle,Mann
Friedrich Distelkamp,Senior,Undirected,,1,Figur,Rolle,Mann
"Rindfleisch, Hannibal Kuh",Professoren,Undirected,,1,Figur,Rolle,Mann
Immanuel Schultze,Oberlehrer,Undirected,,1,Figur,Rolle,Mann
Charles Etienne,Doktor,Undirected,,1,Figur,Rolle,Mann
Charles Etienne,Freund,Undirected,,1,Figur,Rolle,Mann
Charles Etienne,Studiengenosse,Undirected,,1,Figur,Rolle,Mann
Charles Etienne,Lehrer,Undirected,,1,Figur,Rolle,Mann
Friedeberg,Zeichenlehrer,Undirected,,1,Figur,Rolle,Mann
Immanuel Schultze,Hauptgegner,Undirected,,1,Figur,Rolle,Mann
Friedeberg,Publikum,Undirected,,1,Figur,Rolle,Genderneutral
"Friedrich Distelkamp, Rindfleisch, Hannibal Kuh, Charles Etienne, Friedeberg, Immanuel Schultze",Freunde,Undirected,,1,Figur,Rolle,Genderneutral
Friedeberg,Zuhörer,Undirected,,1,Figur,Rolle,Mann
Wilibald Schmidt,Seele,Undirected,,1,Figur,Rolle,Genderneutral
"Friedrich Distelkamp, Rindfleisch, Hannibal Kuh, Charles Etienne, Friedeberg, Immanuel Schultze, Wilibald Schmidt",Waisen,Undirected,,1,Figur,Rolle,Genderneutral
Immanuel Schultze,Gottfried-Keller-Schwärmer,Undirected,,1,Figur,Rolle,Mann
"Friedrich Distelkamp, Rindfleisch, Hannibal Kuh, Charles Etienne, Friedeberg, Immanuel Schultze, Wilibald Schmidt",Aufrechte,Undirected,,1,Figur,Rolle,Genderneutral
"Friedrich Distelkamp, Rindfleisch, Hannibal Kuh, Charles Etienne, Friedeberg, Immanuel Schultze, Wilibald Schmidt",Gesellschaft,Undirected,,1,Figur,Rolle,Genderneutral
"Friedrich Distelkamp, Rindfleisch, Hannibal Kuh, Charles Etienne, Friedeberg, Immanuel Schultze, Wilibald Schmidt",Mitglieder,Undirected,,1,Figur,Rolle,Genderneutral
Hannibal Kuh,Schwager,Undirected,,1,Figur,Rolle,Mann
Hannibal Kuh,Kuh,Undirected,,1,Figur,Rolle,Mann
Immanuel Schultze,Schwiegersohn,Undirected,,1,Figur,Rolle,Mann
"Friedrich Distelkamp, Wilibald Schmidt",Freunde,Undirected,,1,Figur,Rolle,Genderneutral
"Friedrich Distelkamp, Rindfleisch, Hannibal Kuh, Charles Etienne, Friedeberg, Immanuel Schultze, Wilibald Schmidt",Versammlung,Undirected,,1,Figur,Rolle,Genderneutral
Großvater von Wilibald Schmidt,Großvater,Undirected,,1,Figur,Rolle,Mann
Charles Etienne,Etienne,Undirected,,1,Figur,Rolle,Mann
"Charles Etienne, Marcell Wedderkopp",Intime,Undirected,,1,Figur,Rolle,Genderneutral
Charles Etienne,Gast,Undirected,,1,Figur,Rolle,Genderneutral
Charles Etienne,Besuch,Undirected,,1,Figur,Rolle,Genderneutral
Wilibald Schmidt,Pessimist,Undirected,,1,Figur,Rolle,Mann
Charles Etienne,Familie,Undirected,,1,Figur,Rolle,Genderneutral
Immanuel Schultze,Freund,Undirected,,1,Figur,Rolle,Mann
Rindfleisch,Schwager,Undirected,,1,Figur,Rolle,Mann
Rindfleisch,Schwiegervater,Undirected,,1,Figur,Rolle,Mann
"Hannibal Kuh, Immanuel Schultze",Klientel,Undirected,,1,Figur,Rolle,Genderneutral
Immanuel Schultze,Immanuel,Undirected,,1,Figur,Rolle,Mann
