Source,Target,Type,Label,Weight,source type,target type,gender
Heiland,Heiland,Undirected,,1,Figur,Genderrolle,Mann
Knabe,Unschuldiger,Undirected,,1,Figur,Genderrolle,Mann
Weib,Weib,Undirected,,1,Figur,Genderrolle,Frau
Michael,Engel,Undirected,,1,Figur,Genderrolle,Mann
Teufel,Teufel,Undirected,,1,Figur,Genderrolle,Genderneutral
Raffael,Dichter,Undirected,,1,Figur,Genderrolle,Mann
Dürer,Dürer,Undirected,,1,Figur,Genderrolle,Mann
Könige,Könige,Undirected,,1,Figur,Genderrolle,Mann
Isaak,Isaak,Undirected,,1,Figur,Genderrolle,Mann
Johann von Eyck,Johann von Eyck,Undirected,,1,Figur,Genderrolle,Mann
Juno,Juno,Undirected,,1,Figur,Genderrolle,Frau
Diana,Diana,Undirected,,1,Figur,Genderrolle,Frau
Juno,Göttin,Undirected,,1,Figur,Genderrolle,Frau
Diana,Göttin,Undirected,,1,Figur,Genderrolle,Frau
Eyck,Eyck,Undirected,,1,Figur,Genderrolle,Mann
Seraphim,Seraphim,Undirected,,1,Figur,Genderrolle,Genderneutral
Jungfrauen,Chöre,Undirected,,1,Figur,Genderrolle,Frau
Märtyrer,Märtyrer,Undirected,,1,Figur,Genderrolle,Mann
Kirchenlehrer,Kirchenlehrer,Undirected,,1,Figur,Genderrolle,Mann
Päpste,Päbste,Undirected,,1,Figur,Genderrolle,Mann
Geistliche,Geistliche,Undirected,,1,Figur,Genderrolle,Mann
Anbetende,Chöre,Undirected,,1,Figur,Genderrolle,Genderneutral
Holbein,Künstler,Undirected,,1,Figur,Genderrolle,Mann
Eyck,Künstler,Undirected,,1,Figur,Genderrolle,Mann
Dürer,Künstler,Undirected,,1,Figur,Genderrolle,Mann
Holbein,Maler,Undirected,,1,Figur,Genderrolle,Mann
Eyck,Maler,Undirected,,1,Figur,Genderrolle,Mann
Hauptkünstler,Hauptkünstler,Undirected,,1,Figur,Genderrolle,Mann
Hemmerlink,Maler,Undirected,,1,Figur,Genderrolle,Mann
Heilige,Heilige,Undirected,,1,Figur,Genderrolle,Genderneutral
Johannes,Apostel,Undirected,,1,Figur,Genderrolle,Mann
Dionysis,Dionysis,Undirected,,1,Figur,Genderrolle,Mann
Karl der Große,Karl der Große,Undirected,,1,Figur,Genderrolle,Mann
Karl der Große,Karl,Undirected,,1,Figur,Genderrolle,Mann
Kriegsknechte,Kriegsknechte,Undirected,,1,Figur,Genderrolle,Mann
Dionysis,Märtyrer,Undirected,,1,Figur,Genderrolle,Mann
Christus,Gekreuzigter,Undirected,,1,Figur,Genderrolle,Mann
Gesellen,Gesellen,Undirected,,1,Figur,Genderrolle,Mann
Geist,Geist,Undirected,,1,Figur,Genderrolle,Genderneutral
Dionsysis,Märtyrer,Undirected,,1,Figur,Genderrolle,Mann
Karl der Große,Graf,Undirected,,1,Figur,Genderrolle,Mann
Mater dolorosa,Mater dolorosa,Undirected,,1,Figur,Genderrolle,Frau
Ludwig der Heilige,Ludwig der Heilige,Undirected,,1,Figur,Genderrolle,Mann
Wandrer,Wandrer,Undirected,,1,Figur,Genderrolle,Mann
Laien,Laien,Undirected,,1,Figur,Genderrolle,Mann
Perugin,Perugino,Undirected,,1,Figur,Genderrolle,Mann
Leser,Leser,Undirected,,1,Figur,Genderrolle,Mann
Perugin,Meister,Undirected,,1,Figur,Genderrolle,Mann
Perugin,Maler,Undirected,,1,Figur,Genderrolle,Mann
Liebe,Mutter,Undirected,,1,Figur,Genderrolle,Frau
Kleine,Kleine,Undirected,,1,Figur,Genderrolle,Genderneutral
Caraccis,Caraccis,Undirected,,1,Figur,Genderrolle,Genderneutral
Kunstfreund,Kunstfreund,Undirected,,1,Figur,Genderrolle,Mann
Nachfolger,Nachfolger,Undirected,,1,Figur,Genderrolle,Genderneutral
Poussin,Poussin,Undirected,,1,Figur,Genderrolle,Mann
Mengs,Mengs,Undirected,,1,Figur,Genderrolle,Mann
Aposteln,Aposteln,Undirected,,1,Figur,Genderrolle,Mann
Herbeiführende,Herbeiführende,Undirected,,1,Figur,Genderrolle,Genderneutral
Murrende,Murrende,Undirected,,1,Figur,Genderrolle,Genderneutral
Heiland,Figur,Undirected,,1,Figur,Genderrolle,Genderneutral
Donatarius,Donatarius,Undirected,,1,Figur,Genderrolle,Mann
Madonna,Geliebte,Undirected,,1,Figur,Genderrolle,Frau
Madonna,Königin,Undirected,,1,Figur,Genderrolle,Frau
Raffael,Miniaturmaler,Undirected,,1,Figur,Genderrolle,Mann
Raffael,Genie,Undirected,,1,Figur,Genderrolle,Mann
Raffael,Mann,Undirected,,1,Figur,Genderrolle,Mann
Madonna della Sedia,Madonna della Sedia,Undirected,,1,Figur,Genderrolle,Frau
Raffael,Führer,Undirected,,1,Figur,Genderrolle,Mann
Julio Romano,Venetianer,Undirected,,1,Figur,Genderrolle,Mann
Michel Angelo,Maler,Undirected,,1,Figur,Genderrolle,Mann
Italiener,Italiener,Undirected,,1,Figur,Genderrolle,Mann
Bellin,Maler,Undirected,,1,Figur,Genderrolle,Mann
Masaccio,Maler,Undirected,,1,Figur,Genderrolle,Mann
Dante,Dante,Undirected,,1,Figur,Genderrolle,Mann
Petrarca,Petrarca,Undirected,,1,Figur,Genderrolle,Mann
Tasso,Tasso,Undirected,,1,Figur,Genderrolle,Mann
Guarini,Guarini,Undirected,,1,Figur,Genderrolle,Mann
Leonardo,Schüler,Undirected,,1,Figur,Genderrolle,Mann
Antiope,Antiope,Undirected,,1,Figur,Genderrolle,Frau
Amur,Gott,Undirected,,1,Figur,Genderrolle,Mann
Hermes,Hermes,Undirected,,1,Figur,Genderrolle,Mann
Griechen,Griechen,Undirected,,1,Figur,Genderrolle,Genderneutral
Amorinen,Amorinen,Undirected,,1,Figur,Genderrolle,Mann
Amoretten,Amoretten,Undirected,,1,Figur,Genderrolle,Mann
Kleiner,Kleiner,Undirected,,1,Figur,Genderrolle,Mann
Daphne,Daphne,Undirected,,1,Figur,Genderrolle,Frau
Europa,Europa,Undirected,,1,Figur,Genderrolle,Frau
Ovid,Ovid,Undirected,,1,Figur,Genderrolle,Mann
Shakespeare,Shakespeare,Undirected,,1,Figur,Genderrolle,Frau
Jakob Böhme,Jakob Böhme,Undirected,,1,Figur,Genderrolle,Mann
Lucian Bonaparte,Lucian Bonaparte,Undirected,,1,Figur,Genderrolle,Mann
Kunstfreunde,Kunstfreunde,Undirected,,1,Figur,Genderrolle,Genderneutral
Inspirierter,Inspirierter,Undirected,,1,Figur,Genderrolle,Mann
Murillos,Murillos,Undirected,,1,Figur,Genderrolle,Mann
Mönch,Mönch,Undirected,,1,Figur,Genderrolle,Mann
Begeisterter,Begeisterter,Undirected,,1,Figur,Genderrolle,Mann
Figürchen,Figürchen,Undirected,,1,Figur,Genderrolle,Genderneutral
Bettlerknabe,Bettlerknabe,Undirected,,1,Figur,Genderrolle,Mann
Spanier,Spanier,Undirected,,1,Figur,Genderrolle,Mann
Betende,Betende,Undirected,,1,Figur,Genderrolle,Frau
Deutsche,Deutsche,Undirected,,1,Figur,Genderrolle,Genderneutral
Michel Angelo,Künstler,Undirected,,1,Figur,Genderrolle,Mann
Leda,Leda,Undirected,,1,Figur,Genderrolle,Frau
Buben,Buben,Undirected,,1,Figur,Genderrolle,Mann
Tizian,Sohn,Undirected,,1,Figur,Genderrolle,Mann
Paul Veronesse,Paul Veronesse,Undirected,,1,Figur,Genderrolle,Mann
Perugin,Fürst,Undirected,,1,Figur,Genderrolle,Mann
Heiliger,Heiliger,Undirected,,1,Figur,Genderrolle,Mann
Perugin,Künstler,Undirected,,1,Figur,Genderrolle,Mann
Allori,Allori,Undirected,,1,Figur,Genderrolle,Frau
Venus,Göttin,Undirected,,1,Figur,Genderrolle,Frau
Liebesgott,Liebesgott,Undirected,,1,Figur,Genderrolle,Mann
Venus,Weib,Undirected,,1,Figur,Genderrolle,Frau
Götter,Götter,Undirected,,1,Figur,Genderrolle,Genderneutral
Allori,Meister,Undirected,,1,Figur,Genderrolle,Mann
Franz,Franz,Undirected,,1,Figur,Genderrolle,Mann
Herodias,Herodias,Undirected,,1,Figur,Genderrolle,Frau
Solario,Solario,Undirected,,1,Figur,Genderrolle,Mann
Leonardo,Philosoph,Undirected,,1,Figur,Genderrolle,Mann
Jehova,Jehova,Undirected,,1,Figur,Genderrolle,Mann
Fattore,Maler,Undirected,,1,Figur,Genderrolle,Mann
Madonna,Gärtnerin,Undirected,,1,Figur,Genderrolle,Frau
Madonna del Candelabro,Madonna del Candelabro,Undirected,,1,Figur,Genderrolle,Frau
Joseph,Alter,Undirected,,1,Figur,Genderrolle,Mann
Nebenfigur,Nebenfigur,Undirected,,1,Figur,Genderrolle,Genderneutral
Judith,Judith,Undirected,,1,Figur,Genderrolle,Frau
Freunde,Freunde,Undirected,,1,Figur,Genderrolle,Genderneutral
Gottheit,Gottheit,Undirected,,1,Figur,Genderrolle,Genderneutral
Genie,Genie,Undirected,,1,Figur,Genderrolle,Genderneutral
